-0.39, 0.00, 0.00
-0.39, -0.00, 0.06
-0.39, 0.00, 0.13
-0.39, 0.00, 0.19
-0.38, 0.00, 0.25
-0.38, 0.00, 0.31
-0.38, 0.00, 0.38
-0.37, 0.00, 0.44
-0.37, 0.00, 0.50
-0.36, 0.00, 0.57
-0.36, 0.00, 0.63
-0.35, 0.00, 0.69
-0.34, 0.00, 0.75
-0.33, -0.00, 0.82
-0.32, 0.00, 0.88
-0.31, 0.00, 0.94
-0.30, 0.00, 1.01
-0.28, 0.00, 1.07
-0.27, -0.00, 1.13
-0.25, 0.00, 1.19
-0.23, -0.00, 1.26
-0.21, 0.00, 1.32
-0.19, 0.00, 1.38
-0.16, 0.00, 1.45
-0.13, -0.00, 1.51
-0.11, 0.00, 1.57
-0.08, 0.00, 1.63
-0.05, -0.00, 1.70
-0.01, 0.00, 1.76
0.02, 0.00, 1.82
0.06, 0.00, 1.88
0.09, 0.00, 1.95
0.13, 0.00, 2.01
0.17, -0.00, 2.07
0.21, 0.00, 2.14
0.24, -0.00, 2.20
0.28, -0.00, 2.26
0.32, 0.00, 2.32
0.35, -0.00, 2.39
0.39, -0.00, 2.45
0.42, 0.00, 2.51
0.45, 0.00, 2.58
0.48, -0.00, 2.64
0.51, -0.00, 2.70
0.53, -0.00, 2.76
0.55, 0.00, 2.83
0.57, -0.00, 2.89
0.58, -0.00, 2.95
0.59, 0.00, 3.02
0.60, -0.00, 3.08
0.60, -0.00, 3.14
0.60, 0.00, 3.20
0.59, 0.00, 3.27
0.58, -0.00, 3.33
0.57, 0.00, 3.39
0.55, -0.00, 3.46
0.53, 0.00, 3.52
0.51, -0.00, 3.58
0.48, 0.00, 3.64
0.45, 0.00, 3.71
0.42, 0.00, 3.77
0.39, -0.00, 3.83
0.35, -0.00, 3.90
0.32, 0.00, 3.96
0.28, -0.00, 4.02
0.24, 0.00, 4.08
0.21, 0.00, 4.15
0.17, 0.00, 4.21
0.13, -0.00, 4.27
0.09, -0.00, 4.34
0.06, -0.00, 4.40
0.02, -0.00, 4.46
-0.01, -0.00, 4.52
-0.05, -0.00, 4.59
-0.08, 0.00, 4.65
-0.11, -0.00, 4.71
-0.13, -0.00, 4.78
-0.16, 0.00, 4.84
-0.19, 0.00, 4.90
-0.21, -0.00, 4.96
-0.23, -0.00, 5.03
-0.25, 0.00, 5.09
-0.27, -0.00, 5.15
-0.28, -0.00, 5.22
-0.30, 0.00, 5.28
-0.31, 0.00, 5.34
-0.32, 0.00, 5.40
-0.33, 0.00, 5.47
-0.34, 0.00, 5.53
-0.35, -0.00, 5.59
-0.36, -0.00, 5.65
-0.36, -0.00, 5.72
-0.37, -0.00, 5.78
-0.37, 0.00, 5.84
-0.38, -0.00, 5.91
-0.38, -0.00, 5.97
-0.38, -0.00, 6.03
-0.39, -0.00, 6.09
-0.39, -0.00, 6.16
-0.39, -0.00, 6.22
