2.00, 0.00, 0.00
1.95, 0.37, 0.06
1.80, 0.71, 0.13
1.57, 1.00, 0.19
1.28, 1.20, 0.25
0.95, 1.31, 0.31
0.62, 1.32, 0.38
0.32, 1.23, 0.44
0.07, 1.07, 0.50
-0.11, 0.84, 0.57
-0.19, 0.59, 0.63
-0.18, 0.33, 0.69
-0.08, 0.10, 0.75
0.10, -0.08, 0.82
0.33, -0.18, 0.88
0.59, -0.19, 0.94
0.84, -0.11, 1.01
1.07, 0.07, 1.07
1.23, 0.32, 1.13
1.32, 0.62, 1.19
1.31, 0.95, 1.26
1.20, 1.28, 1.32
1.00, 1.57, 1.38
0.71, 1.80, 1.45
0.37, 1.95, 1.51
0.00, 2.00, 1.57
-0.37, 1.95, 1.63
-0.71, 1.80, 1.70
-1.00, 1.57, 1.76
-1.20, 1.28, 1.82
-1.31, 0.95, 1.88
-1.32, 0.62, 1.95
-1.23, 0.32, 2.01
-1.07, 0.07, 2.07
-0.84, -0.11, 2.14
-0.59, -0.19, 2.20
-0.33, -0.18, 2.26
-0.10, -0.08, 2.32
0.08, 0.10, 2.39
0.18, 0.33, 2.45
0.19, 0.59, 2.51
0.11, 0.84, 2.58
-0.07, 1.07, 2.64
-0.32, 1.23, 2.70
-0.62, 1.32, 2.76
-0.95, 1.31, 2.83
-1.28, 1.20, 2.89
-1.57, 1.00, 2.95
-1.80, 0.71, 3.02
-1.95, 0.37, 3.08
-2.00, 0.00, 3.14
-1.95, -0.37, 3.20
-1.80, -0.71, 3.27
-1.57, -1.00, 3.33
-1.28, -1.20, 3.39
-0.95, -1.31, 3.46
-0.62, -1.32, 3.52
-0.32, -1.23, 3.58
-0.07, -1.07, 3.64
0.11, -0.84, 3.71
0.19, -0.59, 3.77
0.18, -0.33, 3.83
0.08, -0.10, 3.90
-0.10, 0.08, 3.96
-0.33, 0.18, 4.02
-0.59, 0.19, 4.08
-0.84, 0.11, 4.15
-1.07, -0.07, 4.21
-1.23, -0.32, 4.27
-1.32, -0.62, 4.34
-1.31, -0.95, 4.40
-1.20, -1.28, 4.46
-1.00, -1.57, 4.52
-0.71, -1.80, 4.59
-0.37, -1.95, 4.65
-0.00, -2.00, 4.71
0.37, -1.95, 4.78
0.71, -1.80, 4.84
1.00, -1.57, 4.90
1.20, -1.28, 4.96
1.31, -0.95, 5.03
1.32, -0.62, 5.09
1.23, -0.32, 5.15
1.07, -0.07, 5.22
0.84, 0.11, 5.28
0.59, 0.19, 5.34
0.33, 0.18, 5.40
0.10, 0.08, 5.47
-0.08, -0.10, 5.53
-0.18, -0.33, 5.59
-0.19, -0.59, 5.65
-0.11, -0.84, 5.72
0.07, -1.07, 5.78
0.32, -1.23, 5.84
0.62, -1.32, 5.91
0.95, -1.31, 5.97
1.28, -1.20, 6.03
1.57, -1.00, 6.09
1.80, -0.71, 6.16
1.95, -0.37, 6.22
